# Characters that follow 'th' in 50,000,000 chars of wikitext-103
# Total 'th' occurrences (with a following char): 898,359
# char          count      pct
  'e'          624249  69.488%
  ' '          112616  12.536%
  'a'           74392   8.281%
  'i'           28557   3.179%
  'o'           22339   2.487%
  'r'           20700   2.304%
  's'            3647   0.406%
  'u'            2897   0.322%
  'w'            2357   0.262%
  'l'            1600   0.178%
  'y'            1446   0.161%
  'd'            1173   0.131%
  'm'             634   0.071%
  'n'             332   0.037%
  'b'             311   0.035%
  'f'             282   0.031%
  'q'             254   0.028%
  'c'             188   0.021%
  'p'             117   0.013%
  'h'              60   0.007%
  't'              45   0.005%
  'g'              38   0.004%
  'S'              25   0.003%
  'v'              22   0.002%
  '-'              15   0.002%
  'é'              12   0.001%
  'è'              11   0.001%
  '.'              10   0.001%
  'W'               5   0.001%
  'k'               4   0.000%
  'ä'               2   0.000%
  'B'               2   0.000%
  'ā'               2   0.000%
  'j'               2   0.000%
  'ú'               1   0.000%
  'á'               1   0.000%
  'ə'               1   0.000%
  'ī'               1   0.000%
  'z'               1   0.000%
  'í'               1   0.000%
  'U'               1   0.000%
  'E'               1   0.000%
  'ō'               1   0.000%
  'M'               1   0.000%
  'P'               1   0.000%
  'ứ'               1   0.000%
  'ö'               1   0.000%
